"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
751,"Bagalkot Blood Bank",Karnataka,BAGALKOT,Bagalkot,"Hanagal Shree Kumareshwar Hospital and Research Centre, Ilkal Road",587101,16.1861,75.7065
752,"B. V. V. Sanghas HSK Hospital Blood Bank",Karnataka,BAGALKOT,Bagalkot,"Navanagar, Bagalkot",587102,16.1651,75.6751
753,"District Hospital Blood Bank Bagalkot",Karnataka,BAGALKOT,Bagalkot,Navanagar,587101,16.165,75.6608
754,"M/s. Vijay Mahant Blood Bank",Karnataka,BAGALKOT,Ilkal,"Sri Basaveshwara Childrens Hospital & Research Centre,
Gorbal Naka",587125,0,0
755,"Mounesh Hospital&#39;s The Jhamkandi Blood Bank",Karnataka,BAGALKOT,Jamkhandi,"Near P.B. High School, Uma Rameshwar Road",587101,0,0
756,"Ramanagoudar Hospital Blood Bank",Karnataka,BAGALKOT,Mudhol," 2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap ",587313,15.3647,75.124
757,"M/s. Sai Aadhar Hospital Blood Bank",Karnataka,BAGALKOT,Mudhol,"Sai Aadhar Hospital, Yadwad Road",587313,16.3252,75.2894
758,"K.L.E.Society & Medical Research Centre Blood Bank",Karnataka,Belgaum,Belgaum,"Nehru Nagar",590010,15.8879,74.5196
759,"Belgaum Blood Bank and Diagnostic Laboratory",Karnataka,Belgaum,Belgaum,"3137, Huns Talkies Road, (opposite to Central High School)",590001,15.8604,74.5125
760,"District Hospital Blood Bank",Karnataka,Belgaum,Belgaum,"Dr. B. R. Ambedkar Road",590001,15.8691,74.5104
761,"Shree Mahaveer Blood Bank",Karnataka,Belgaum,Belgaum," 4th Floor, Radio Complex, CTS No. 116/1A, Shivaji Road",590001,15.8544,74.5112
762,"M/s. Sri Sai Blood Bank",Karnataka,Belgaum,Belgaum,"Shri Sai Hospital, No:40/2, Laxmi Nagar Main Road,
Vadagaon",590005,15.8336,74.5266
763,"Rotary Charitable Trust Blood Bank",Karnataka,Belgaum,Chikkodi,"New Extension Area, Nippani",591237,16.1602,74.8121
764,"Rotary Seva Sangh Blood Bank",Karnataka,Belgaum,Gokak," R. S. No. 211/B, Plot No. 14C, Yogikolla Road",591307,16.1604,74.8122
765,"Medical College Hospital Blood Bank",Karnataka,BELLARY,Bellary,"Vijayanagara Institute of Medical Science (VIMS), Bellary",583104,15.1543,76.8966
766,"District Hospital Blood Bank Bellary",Karnataka,BELLARY,Bellary,Bellary.,0,0,0
767,"Swamy Vivekananda Charitable Blood Bank",Karnataka,BELLARY,Bellary,"D. No.130, Near TVS Show Room, Parvathinagar Main Road",583103,0,0
768,"Smt. Vasantidevi Baldota Blood Bank",Karnataka,BELLARY,Hospet,"Baldota Colony, Dam Road, Hospet",583203,0,0
769,"Chiranjeevi Blood Bank",Karnataka,BELLARY,Hospet,"Near Vijayanagara Colony, 100 Bed Hospital Road, Amaravathi",583201,0,0
770,"M/s. Sri Siddartha Medical College Hospital Blood Bank",Karnataka,"BENGALURU RURAL",Bangalore,"Sri Siddhartha Medical College & Hospital, T.Begur, Nelamangala Tq",562123,13.1608,77.3234
771,"MVJ Medical College and Research Hospital Blood Bank",Karnataka,"BENGALURU RURAL",Hosakote,"Dandupalya, Kolathur Post, NH-4",560164,13.0775,77.8115
772,"BGS Global Hospitals Blood Bank",Karnataka,"BENGALURU RURAL",Kengeri,"No. 67, Uttarahalli Road",560060,12.9113,77.4862
773,"Harsha Hospital Blood Bank",Karnataka,"BENGALURU RURAL",Nelamangala,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Bengaluru.",562123,13.098,77.3858
774,"Narayana Hrudayalaya Blood Bank",Karnataka,"BENGALURU URBAN","Anekal Taluk","University Medical Centre, (KMC) Hospital",560099,12.8093,77.6952
775,"Government Haji Sir Ismail Sait Gosha Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bangalore,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",560051,12.9875,77.6049
776,"Swamy Vivekananda Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bangalore,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",560027,12.965,77.589
777,"M/s. Aster CMI Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bangalore,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",560092,13.0547,77.5925
778,"M/s. East Point Hospital Blood Bank Virgonagar",Karnataka,"BENGALURU URBAN",Bangalore,"East Point college of Medical Sciences&Hospital, Janana Prabha Campus, Bidarahalli",560049,13.0537,77.7179
779,"Unique Blood Bank & Diagnostic Centre",Karnataka,"BENGALURU URBAN",Bangalore,"1st floor,S.L.N.Complex, City Market Square",560002,12.9658,77.5763
780,"SHUSHRUTHA VOLUNTARY BLOOD BANK",Karnataka,"BENGALURU URBAN",Bangalore,"The Blood Bank Medical officer
Sushrutha Voluntary Blood Bank,
No:875,Modi Hospital Road,  Near Pristine Hospital",560,12.9979,77.5412
781,"Bengaluru Blood Bank and Diagnostic Laboratory",Karnataka,"BENGALURU URBAN",Bengaluru,"Between 6th and 7th Cross, Opposite R.R.Gold Palace, Sampige Road,Malleshwaram",500003,12.9981,77.5716
782,"Bengaluru Rotary TTK Medical Service Trust Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"New Thippasandra Main Road, HAL III Stage",560075,12.9981,77.5804
783,"KIMS Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"K. R. Road, Visveswarapuram,Near Makkala Koota Bus Stop",560004,12.9564,77.5741
784,"Bangalore Baptist Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Bellary Road, Hebbal",560024,13.0353,77.5899
785,"Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Jayanagar East, Byrasandra",560011,12.9358,77.5939
786,"Victoria Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Fort Road, Bengaluru",560002,12.9634,77.5738
787,"M. S. Ramaiah Medical Teaching Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Gokul Extension",560054,13.0305,77.5667
788,"Saint Martha&#39;s Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Nrupatunga Road",560001,12.9707,77.5861
789,"Kidwai Memorial Institute of Oncology Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Dr. M.H.Marigowda  Road",560029,12.9376,77.5985
790,"Transfusion Medicine Centre Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"NIMHANS Hosur Road",560029,12.9404,77.5988
791,"St. John&#39;s Medical College Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Sarjapur Road, Bengaluru",0,12.9295,77.6202
792,"Mallya Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.2, Vittal Mallya Road",560001,12.9681,77.5951
793,"Hindustan Aeronautics Limited - HAL Hospital Blood Bank ",Karnataka,"BENGALURU URBAN",Bengaluru,"Suranjandas Road, Near HAL Airport, Vimanapura",560017,12.9624,77.6653
794,"Saint Philomena Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.1, Nilsandra Road",560047,12.9654,77.6105
795,"K. C. General Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,Malleshwaram,560003,12.9964,77.5693
796,"Command Hospital Blood Bank Air Force",Karnataka,"BENGALURU URBAN",Bengaluru,"Old Airport Road, Near Cambridge Layout, Domlur Village, Post Agram",560007,12.9633,77.6288
797,"E.S.I.Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,Rajajinagar,560010,12.9908,77.5535
798,"Rashtrotthana Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"93/2 Keshava Shilpa 1st Mn Road, Kempegowda Nagar ",560019,12.9548,77.5654
799,"Dr. B. R.Ambedkar Medical College Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"K.G.Halli, Bengaluru",560045,13.0253,77.6142
800,"Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.45, Magrath Road, Off. Richmond Road",560023,12.969,77.6135
801,"Grace Blood Bank and Laboratory",Karnataka,"BENGALURU URBAN",Bengaluru,"2, 10th Cross, Ganganagar, Bengaluru",560032,13.0262,77.5889
802,"Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"EPIP Area, Whitefield",560066,12.9811,77.7292
803,"Navarang Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.2953, Ist Floor, Near Navarang Circle, M.K.K.Road, 
Rajaji Nagar, ",560010,12.9982,77.5516
804,"Bangalore Lions Service Trust - Lions Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",560052,12.9896,77.5928
805,"Sri Jayadeva Institute of Cardiology Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Gurappanapaly Post, Banneraghatta Road",560069,12.918,77.5993
806,"Vydehi Institute of Medical Science Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"EPIP AREA, 06 WHITE FIELD",560066,12.9754,77.7293
807,"Akshay Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No. 968, 2nd Floor, 41st Cross, 3rd Block. Opposite E.S.I. Hospital, Rajajinagar",560070,12.9899,77.5528
808,"Bowring and Lady Curzon Hospitals Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Shivaji Nagar, Bengaluru",560051,12.9822,77.6043
809,"Kempegowda Medical Service Trust - Millennium Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.1082/9, Sreenivasa Prasanna Complex, Triveni Road, Yeshwanthpur, Bengaluru",560022,13.0196,77.558
810,"S. K. Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"14/1,I Floor, MESA Complex, Old Tolgate Bus Stop, 
Magadi Main Road",560023,12.9744,77.5493
811,"Indira Gandhi Child Institute of Health Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"South Hospital Complex, Dharamaram College Post",560029,12.9373,77.592
812,"Rajarajeshwari Medical College Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"5th Cross, Mysore Road, New Guddadahalli",560074,12.8965,77.4617
813,"Sanjeevini Trust Jayanagar Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"1897/A, Cellar Floor, Gulora, 26th Main Road, Sount End Cross Road, 9th Block, Jayanagar",560069,12.9157,77.591
814,"Sri Vinayaka Charitable Trust  Jeeva Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No. 23 and 84, Sharoff Basappa Commercial Complex, 2nd Main, Ist Cross, New Tharugpet",560002,12.9616,77.5711
815,"Indian Red Cross Society - Karnataka Red Cross Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Red Cross Bhavan, 326, Ist Floor, Race Course Road, Bengaluru",560001,12.9842,77.5788
816,"Apollo Hospitals (Imperial Cancer Hospital and Research Centre) Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Apollo Hospitals a unit of Imperial Cancer Hospital and Research Centre Limited, 154/11, Opp.I.I.M Bannerghatta Road",560076,12.8964,77.598
817,"Vijayanagar Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No. 27, 17th Cross, M.C. Layout, Vijayanagar",560040,12.9692,77.5365
818,"Bangalore Institute of Oncology Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No. 8, P. Kalinga Rao Road, Sampangiram Nagar",560027,12.9643,77.5896
819,"Ocean Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No. 133-134, K. P. Broadway Road, Shivajinagar",560051,12.982,77.6045
820,"Rotary K. R. Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru," No. 75, Hanumanthanagar, 50 Feet Road, Bengaluru ",560050,12.9419,77.5536
821,"Veerayoga Institute of Medical Sciences Speciality Hospitals Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"VIMS, No. 88, Marathhalli, Outer Ring Road",560037,12.9483,77.6996
822,"Columbia Asia Referral Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"26/4, Brigade Gateway, Beside Metro Cash and Carry West West, Malleshwaram,",560055,13.0142,77.556
823,"Sagar Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Sy. No.53, Shavige Malleshwara Hills, Kumar Swamy Layout, Banashankari",560078,12.9077,77.5651
824,"Fortis Hospital Private Limited Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Bannerghatta Road",560076,12.8945,77.5989
825,"Fortis Hospital Private Limited Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"14, Sheriffs Centre,Cunningham Road",560052,12.9882,77.5942
826,"Sagar Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru," 44/54, 30th Cross, Tilak Nagar, Jayangar Extension",560041,12.928,77.5996
827,"Manipal Hospital Transfusion Services Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.98, Rustombagh, HAL Airport Road",560017,12.9588,77.6491
828,"Yashomathi Medicare and Research Centre Private Limited Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"2371/3, HAL Airport, Varthur Main Road, Munne Kolala, Marathahalli Post",560037,12.9557,77.7113
829,"Life Care Voluntary Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru," No.126, 7th Block, Jayanagar, Opposite to Jayanagar Police Station",560011,12.9284,77.5817
830,"The Oxford Medical College Hospital Blood Bank and Research Centre",Karnataka,"BENGALURU URBAN",Bengaluru," Yadavanahalli, Attibele (Hobli), Anekal Taluk",562107,12.7872,77.7569
831,"Sakra World Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Sakra world Hospital (A Unit of Takshasila Hospitals Operating Private Limited), S.No. 52/2 and 52/3, Devarabeesanahalli, Varthur Hobli, Bellandur Post",560103,12.9321,77.6853
832,"Dr.Rajkumar (Appaji) Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru," No.18, Krishi Bhavan, 2nd Floor, Hudson Circle",560001,12.9676,77.5894
833,"Sri Shankara Cancer Hospital and Research Centre Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Shankara Math premises, 1st cross, shankarapuram, Basavanagudi",560004,12.9546,77.5711
834,"Mediscope Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"Mediscope Hospital, No.11, Pillanna Garden, 3rd stage",560045,12.9995,77.6169
835,"Sapthagiri Hospital Blood Bank",Karnataka,"BENGALURU URBAN",Bengaluru,"No.15, Chikkasandra, Hesaraghatta Main Road",560090,13.0706,77.5023
836,"The District Surgeon District Hospital Blood Bank",Karnataka,BIDAR,Bidar,,585401,17.9181,77.515
837,"District Hospital Blood Bank Bijapur",Karnataka,Bijapur,Bijapur,"Athani Road",586102,16.8281,75.6917
838,"B.L.D.E. Association&#39;s Medical College & Reserch Centre Blood Bank",Karnataka,Bijapur,Bijapur,"Mahal Bagayat,Ashram Road",586103,16.8451,75.7106
839,"Lions Blood Bank",Karnataka,Bijapur,Bijapur,"Bandikaman Road, Ward No.6, CTS No.168, Basement Ground and First Floor",586101,16.8272,75.7258
840,"Dr. B. N. M. Rural Ayurvedic Medical College and Hospital Blood Bank",Karnataka,Bijapur,Bijapur,"Smt. Sushiladevi Nagur Colony, College Road",586101,16.8302,75.7078
841,"Al-Ameen Medical College Hospital Blood Bank",Karnataka,Bijapur,Bijapur,"Athani Road, Bihapurkar",586101,16.8251,75.6692
842,"GMETS Dr. Goudars Blood Bank",Karnataka,Bijapur,Bijapur,"852, A1 and A2 Ward IX, 1st Floor, Dr. Karigoudar&#39;s Complex Godbolemala",586101,16.8281,75.71
843,"District Hospital Blood Bank Chamarajanagar",Karnataka,CHAMARAJANAGAR,Chamarajanagar,"District Hospital",577101,11.9268,76.9415
844,"Holy Cross Hospital Blood Bank",Karnataka,CHAMARAJANAGAR,Kollegal,"Kamagere , Kolegala Taluk, Chamaraja Nagar",571443,12.1294,77.2336
845,"Indian Red Cross Society Blood Bank Chikkaballapur",Karnataka,Chikkaballapur,Chikkaballapur,"District Family Welfare Office, 2nd Floor, B. B. Road",561207,13.438,77.7293
846,"Mallegowda District Hospital Blood Bank",Karnataka,CHIKKAMAGALURU,Chikkamagaluru,Chikkamagaluru,577101,13.218,75.2518
847,"Holy Cross Hospital Blood Bank",Karnataka,CHIKKAMAGALURU,Chikkamagaluru,"Housing Board Colony, K. M. Road, Jyothi Nagar",577101,13.3386,75.8036
848,"Sharada Dhanvantari Charitable Hospital Blood Bank",Karnataka,CHIKKAMAGALURU,Sringeri,"S. D. C. Hospital, P.B. No. 13, Vidyaranyapura Village,",577139,13.4289,75.2543
849,"District Hospital Blood Bank Chitradurga",Karnataka,CHITRADURGA,Chitradurga,"B. D. Road Chitradurga",577501,14.2208,76.4065
850,"SJM Blood Bank Basaveshwara Medical College Hospital and Research Centre",Karnataka,CHITRADURGA,Chitradurga,"NH-4, By Pass, Near KHB Colony",577502,14.2398,76.3889
851,"Vasavi Blood Bank",Karnataka,CHITRADURGA,Chitradurga,"Khata No. 4895/4720, Assessment No. 11479/13, 
B. L. Gowda Layout, Thurunur Road",577501,14.2296,76.4095
852,"Jyothi Hospital Blood Bank",Karnataka,"DAKSHINA KANNADA",Belthangady,"Jyothi Hospital, Laila-574 214, Belthangady",574214,12.9912,75.2883
853,"M/s. Indian Red Cross Society Blood Bank",Karnataka,"DAKSHINA KANNADA",Kundapur,"1st floor, Govt Hospital Building, Muncipal Road",576201,13.6285,74.6907
854,"Fr. Mullers Charitable Instituitions Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Post Box No.501, Kankanady",575002,12.8668,74.8593
855,"City Hospital Research and Diagnostic Centre Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Pound Garden, Kadri",575003,12.8796,74.853
856,"The District Surgeon - Wenlock District Hospital Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,Hampanakata,575001,12.8674,74.8431
857,"Yenepoya Medical College Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Nithyananda Nagar, Deralakatte",575018,12.8119,74.8812
858,"A. J. Hospital and Research Centre Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Kuntikana, NH- 66",575004,12.8995,74.846
859,"KMC University Medical Centre Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Dr. B. R. Ambedkar Circle, Jyothi",575001,12.8704,74.8445
860,"Srinivasa Institute of Medical Sciences and Research Centre Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Mukka,Srinivas Nagar,Surathkal",575021,13.0214,74.792
861," M/s. Tejasvini Hospital Lions Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Kadri Temple Road",575002,12.8803,74.8537
862,"Indian Red Cross Society Blood Bank Mangalore",Karnataka,"DAKSHINA KANNADA",Mangalore,"Lady Goshen Hospital, Behind Central Market",575001,12.8649,74.8382
863,"Nitte University Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Justice K. S. Hegde Charitable Hospital, Deralakatte",575018,12.8074,74.8883
864,"M/s. Kanachur Hospital & Research Centre Blood Bank",Karnataka,"DAKSHINA KANNADA",Mangalore,"Ground Floor, C Block, University Road, Deralakatte",575018,12.8034,74.8981
865,"Rotary Campco Blood Bank",Karnataka,"DAKSHINA KANNADA",Puttur,"Radhakrishna Building, Shree Radhadrishna Mandir Road",574201,12.7607,75.1989
866,"General Hospital Blood Bank Puttur",Karnataka,"DAKSHINA KANNADA",Puttur,NA,574102,12.7583,75.2003
867,"K. V. G Medical College Hospital Blood Bank",Karnataka,"DAKSHINA KANNADA",Sullia,"Kurinji Bag",574327,12.5533,75.3842
868,"Chigateri District Hospital Blood Bank",Karnataka,DAVANGERE,Chigateri,"Chigateri District Hospital, Chigateri",577004,14.4562,75.9162
869,"Bapuji Hospital Blood Bank",Karnataka,DAVANGERE,Davangere,"C.G. Hospital Road",577001,14.4588,75.9167
870,"Davangere Blood Bank",Karnataka,DAVANGERE,Davangere,"358, Mahaveera Complex, II Floor, 8th Main, 8th Cross, P.J. Extension",577002,14.4592,75.9152
871,"Bapuji Educational Association S. S. Institute of Medical Sciences and Research Hospital Blood Bank",Karnataka,DAVANGERE,Davangere,"Jnanashankara, NH-4 Bypass Road, Post Box-1",577003,14.4303,75.9427
872,"Karnataka Hemophillia Society Life Line Blood Bank",Karnataka,DAVANGERE,Davangere,"No.1138, Ring Road, S. Nijalingappa Layout, Behind KSFC Building",577002,14.4574,75.9025
873,"INDIAN RED CROSS SOCIETY",Karnataka,DAVANGERE,Davangere,"Devraj Urs Layout",577006,14.4753,75.9098
874,"Rotary Club Dharwad Mid Town Charitable Trust - Rotary Blood Bank",Karnataka,DHARWAD,Dharwad,"Lourde&#39;s Hospital, Kalageri Road",500008,15.4637,74.9698
875,"District Hospital Blood Bank Dharwad",Karnataka,DHARWAD,Dharwad,"Fort Road",580001,15.4647,75.0104
876,"SDM College of Medical Sciences and Hospital Blood Bank",Karnataka,DHARWAD,Dharwad,"First Floor B Wing Building, Sattur",580009,15.4179,75.0502
877,"Karnataka Medical College Hospital Blood Bank",Karnataka,DHARWAD,Hubli,"III Floor, # 306 ",580022,15.3669,75.1283
878,"M. R. Diagnostic Research Centre and Blood Bank",Karnataka,DHARWAD,Hubli,"Ground Floor, Eureka Towers, Traffic Island",580029,15.3647,75.124
879,"The Karnataka Cancer Therapy and Research Institute Smt. Valbai N. Dharamsey Blood Bank",Karnataka,DHARWAD,Hubli,"Navanagar ",580025,15.3647,75.124
880,"Jeevanavar Blood Bank",Karnataka,DHARWAD,Hubli,"CTS No.104,11/15-B, Municipal No.20922/17-A, 
K.H.Jituri Hospital, Complex, II Floor, Gokul Road",580021,15.3536,75.1306
881,"Hubli Lions Blood Bank",Karnataka,DHARWAD,Hubli,"CTS No. 440, Ward No.1, Groud Floor, Vivekananda General Hospital Compound, Deshpande Nagar, Hubli",580029,15.3546,75.1356
882,"Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Bank",Karnataka,DHARWAD,Hubli,"2nd Floor Dee Jay building, Neeligin Road",581107,15.3534,75.1349
883,"Life Line 24x7 Blood Bank",Karnataka,DHARWAD,Hubli,"Opposite to New Bus Stand Airport Road",581107,15.3514,75.1178
884,"M/s. Suchirayu Healthcare Limited Blood Bank",Karnataka,DHARWAD,Hubli,"Sy.No:28/8-11,M.Timmasagara, Jalavi Garden, Off Gokul Road",580030,15.3526,75.1155
885,"IMA Blood Bank",Karnataka,GADAG,Gadag,"Zendha Circle, Station Road",582101,15.4362,75.6376
886,"Gadag Institute of Medical Sciences & District Hospital Blood Bank",Karnataka,GADAG,Gadag,"Gadag Institute of Medical Sciences, Mallasamudra",582103,15.381,75.6008
887,"Sri. Chamarajendra District Hospital Blood Bank",Karnataka,HASSAN,Hassan,"Hospital Road",573201,13.0045,76.1038
888,"Jeeva Raksha Blood Bank",Karnataka,HASSAN,Hassan,"Vokkaligara Hostel Building, Ist Floor, B.M.Road",573201,13.0033,76.0976
889,"Manjunath Orthopaedic and Trauma Centre Hospital Blood Bank",Karnataka,HASSAN,Hassan,"K. R. Puram",573201,13.0081,76.1016
890,"District Hospital Blood Bank Haveri",Karnataka,HAVERI,Haveri,,581110,14.7854,75.4031
891,"HKES Blood Bank Organisation",Karnataka,KALABURAGI,Gulbarga,"M.R. Medical College, Basave shwara Teaching and General Hospital, No.7-52 Sadam Road",585105,17.3284,76.8445
892,"District Hospital Blood Bank",Karnataka,KALABURAGI,Gulbarga,"Sedam Road",585102,17.3287,76.8407
893,"Health Care Blood Bank",Karnataka,KALABURAGI,Gulbarga,"3-400/401 A, Ist Floor, Taj Complex, Gazipura",585104,17.3354,76.8362
894,"Khaja Banda Nawaz Teaching and General Hospital Blood Bank",Karnataka,KALABURAGI,Gulbarga,"Khaja Nagri, Station Main Road",585102,17.3527,76.8532
895,"M/s. Vaatsalya Life Hospitals Navajeeva Blood Bank",Karnataka,KALABURAGI,Gulbarga,"Vaatsalya Life Hospital, 1st Floor, Near RTO Office, SH-10",585105,17.3285,76.8479
896,"M/s. Medicare Multispeciality Hospital Blood Bank",Karnataka,KALABURAGI,Gulbarga,"Badagu Health Services Private Limited, 1st Floor, Darga Road, Santraswadi",585101,17.3378,76.8443
897,"District Hospital Blood Bank",Karnataka,KODAGU,Madikeri,"General Thimayya Road",571201,12.4188,75.7426
898,"Sambrama Institute of Medical Sciences & Research Hospital Blood Bank",Karnataka,KOLAR,"K. G. F.","No:3029/1, D. K. Plantation BEML Nagar",563115,12.9965,78.2404
899,"General Hospital Robertson Peth Blood Bank",Karnataka,KOLAR,Kolar,"Kolar Gold Field (K. G. F)",563122,12.9534,78.2713
900,"S.N.R. District Hospital Blood Bank",Karnataka,KOLAR,Kolar,"Gowripete, Kolar",563101,13.1293,78.1344
901,"BEML Medical Centre Bharat Earth Movers Limited Blood Bank",Karnataka,KOLAR,Kolar,"Kolar Gold Fields ",563115,12.9839,78.2372
902,"R. L. Jalappa Hospital and Research Centre Blood Bank",Karnataka,KOLAR,Kolar,"NH-4,Tamaka",563101,13.1317,78.1731
903,"Gopi Blood Bank",Karnataka,KOPPAL,Koppal,"Gunj Area, C.B.S. Circle, Gangavthi ",583227,15.4346,76.5018
904,"Indian Red Cross Koppal District Branch Blood Bank",Karnataka,KOPPAL,Koppal,"1st Floor, New District Hospital, Hospital Road, Koppal ",580323,15.4192,76.1382
905,"Adichunchanagiri Hospital and Research Centre Blood Bank",Karnataka,MANDYA,Mandya,"Balagangadharnath Nagar, Bellur",571418,12.9663,76.721
906,"District Hospital Blood Bank Mandya",Karnataka,MANDYA,Mandya," District Hospital Premises",571401,12.428,76.701
907,"MDC Voluntary Blood Bank",Karnataka,MANDYA,Mandya,"Khatha No. D5/1045/187, Alahalli Extension, General Hospital Road, Nehrunagar",571401,12.5203,76.8992
908,"Vikarm Hospital Blood Bank",Karnataka,MANDYA,Mandya,"Vikarm Hospital, No.D5/271/219B and D5/272/1220, 3rd Cross, Ashoka Nagar",571401,12.5251,76.8982
909,"Holdsworth Memorial Mission Hospital Blood Bank",Karnataka,Mysore,Mysore,Mandimohalla,570021,12.3164,76.6506
910,"Bassappa Memorial Hospital Blood Bank",Karnataka,Mysore,Mysore,"22/B, Vinoba Road, Jayalakshmipuram",570012,12.3208,76.62
911,"B. G. S. Apollo Hospital Blood Bank",Karnataka,Mysore,Mysore,"Kantharaj Urs Road, Kuvempunagar",570010,12.2957,76.6321
912,"Vikram Hospital and Heart Centre Blood Bank",Karnataka,Mysore,Mysore,"346, Vivekananda Road, Yadavagiri",570020,12.3235,76.6381
913,"Rotary Mysore Chandrakala Hospital Blood Bank",Karnataka,Mysore,Mysore,"Chandrakala Hospital and Institute of Medical Research, Plot &#39;A&#39;, Kalidasa Road, Jayalakshmipuram",570012,12.3259,76.6195
914,"Jeevadhara Voluntary Blood Bank ",Karnataka,Mysore,Mysore,"Aunit of Cauvery Social Services Trust, No.1475, 2nd Floor and 3rd floor, New Sayaji RaoRoad, Mandi Mohalla",570010,12.3157,76.651
915,"Nuveen Medical Relief and research Foundation Blood Bank",Karnataka,Mysore,Mysore,"St.Joseph SH-17, 331/1, L176/2, Bannimantap",570015,12.3411,76.6532
