"Sr No","Blood Bank Name",Apheresis,"Service Time","Blood Component Available"
416,"Fortis Flt. Lt. Rajan Dhall Hospital Blood Bank",YES,24x7,YES
417,"Institute of Liver and Biliary Sciences Blood Bank",YES,24x7,YES
418,"Mata Chanan Devi Hospital Blood Bank",YES,24X7,YES
419,"Bhagat Chandra Hospital Blood Bank",YES,24x7,YES
420,"Indian Spinal Injuries Centre Blood Bank",NO,24x7,YES
421,"Bensups Hospital Blood Bank",,24x7,YES
422,"Blood Bank Organisation",NO,24x7,YES
423,"E. S. I. Hospital Blood Bank",,24x7,YES
424,"Maharaja Agrasen Hospital Blood Bank",YES,24x7,YES
425,"Sri Balaji Action Medical Institute Blood Bank",YES,24x7,YES
426,"Dr. B. L. Kapoor Memorial Hospital Blood Bank",YES,24x7,YES
427,"Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank",YES,24x7,YES
428,"R.B.T.C (wz), Deen Dayal Upadhyay Hospital",YES,24x7,YES
429,"Jaipur Golden Hospital Blood Bank",YES,24x7,YES
430,"Jan Jagriti Blood Bank",YES,24X7,YES
431,"District Hospital Blood Bank ",NO,"12 hours  (09 am - 04.30 pm Blood Collection)",NO
432,"Goa Medical College Blood Bank",NO,"24 hours (9-4.30 Blood Collection)",YES
433,"Hospicio Hospital Blood Bank",NO,"24 X 7",NO
434,"Apollo Victor Hospital Blood Bank",,"24 hours ",
435,"SMRC&#39;s V. M. Salgaocar Hospital Blood Bank",NO,"24 X 7",NO
436,"V. S. Hospital Blood Bank",NO,24X7,YES
437,"Smt. Shardaben Hospital Blood Bank",NO,24X7,NO
438,"L. G. Hospital Blood Bank",YES,24X7,YES
439,"Civil Hospital Blood Bank",YES,24X7,YES
440,"General Hospital Blood Bank Sola",NO,24X7,NO
441,"Indian Red Cross Society Blood Bank",,24X7,YES
442,"The Gujarat Cancer & Research Institute Blood Bank",NO,24X7,YES
443,"Institute of Kidney Disease and Research Centre ",YES,24X7,YES
444,"Help Voluntary Blood Bank  ",NO,24X7,YES
445,"GUJARAT CANCER MEDICAL COLLEGE",,24X7,YES
446,"General Hospital Blood Bank ",NO,24X7,NO
447,"Military Hospital Blood Bank",NO,24X7,NO
448,"Dr. Jivraj Mehta  Smarak Health Foundation Blood Bank",NO,24X7,NO
449,"Prathama Blood Centre",YES,"24 hours 365 days",YES
450,"White Cross Blood Bank ",NO,24x7,NO
451,"Adarsh Pathology Laboratory and Blood Bank",NO,"9 am to 8pm",NO
452,"Gujarat Blood Bank Paldi",NO,24X7,NO
453,"Karnavati Blood Bank and Pathology Lab",NO,24X7,YES
454,"Cross World Voluntary Blood Bank ",NO,24X7,NO
455,"Maha Gujarat Blood Bank",NO,24X7,YES
456,"Supratech Voluntary Blood Bank",NO,24X7,NO
457,"Sterling Hospital",YES,24X7,YES
458,"Ami Pathology Laboratory and Blood Bank",NO,24X7,NO
459,"Gujarat Blood Bank Naranpura",NO,24X7,NO
460,"Indian Red Cross Society Blood Bank",NO,24X7,NO
461,"Indian Red Cross Society Blood Bank",NO,24X7,NO
462,"Indu Voluntary Blood Bank",NO,24X7,YES
463,"Ghanshyam Pathlology Laboratory and Blood Bank",NO,24X7,NO
464,"Lions Club Khambat Blood Bank",NO,24X7,YES
465,"A.D. Gorwala Karamsad Blood Bank  ",YES,24X7,YES
466,"Indian Red Cross Society Blood Bank Petlad",NO,24X7,NO
467,"Gandhi Lincon Hospital Blood Bank",NO,24X7,NO
468,"M. U. Pethani Voluntary Blood Bank, Palanpur",NO,24X7,NO
469,"General Hospital Blood Bank Palanpur ",NO,24X7,NO
470,"Gayatri Pathology Laboratory and Voluntary Blood Bank",NO,24X7,NO
471,"Bhoomi Voluntary Blood Bank Palanpur",NO,24X7,YES
472,"Vikas Voluntary Blood Bank",NO,"9am - 6 pm (7 days)",NO
473,"Dharti Voluntary Blood Bank",NO,"9 t0 6( 7 days)",NO
474,"Saraswati Voluntary Blood Bank",NO,"9am - 6pm(7 days)",NO
475,"Gayatri Voluntary Blood Bank",NO,"9am - 6pm (7 days)",NO
476,"Adarsh Voluntary Blood Bank ",NO,"9am to 6pm",NO
477,"Indian Red Cross Society Blood Bank",NO,24X7,NO
478,"Kumarpal Gandhi Blood Bank",NO,"24BY 7",NO
479,"Sir T. General Hospital Blood Bank",YES,24X7,YES
480,"Bhavnagar Blood Bank",YES,24X7,YES
481,"Bambhaniya Voluntary Blood Bank",NO,24X7,YES
482,"Navkar Charitable Trust Mahuva Blood Bank",NO,24X7,YES
483,"Smt. Sonalien A. Shah Blood Bank",NO,24X7,NO
484,"Tulsi Pathology Laboratory and Blood Bank",NO,"9 t0 6( 7 days)",NO
485," Indian Red Cross Society Blood Bank ",NO,"24 x 7",NO
486,"Samarth Raktdan Kendra                                                             ",NO,"9 am to 7 pm (Emergency 24 hours)",NO
487,"Kiran Voluntary Blood Bank                                                                       ",NO,24X7,NO
488,"General Hospital Blood Bank Ahwa",NO,24X7,NO
489,"Indian Red Cross Society (IRCS), Kalol, Gandhinagar",NO,24X7,NO
490,"GMERS MEDICL COLLEGE ATTACHED GENERAL HOSPITAL, GANDHINAGAR",NO,24X7,NO
491,"Shraddhadeep Pathology Lab and Blood Bank",NO,"7:15am - 9:00pm",NO
492," Apollo Hospital International Limited Blood Bank",YES,24X7,YES
493,"Indian Medical Association (IMA) Blood Bank",NO,24X7,NO
494,"G.G.Hospital Blood Bank",YES,24X7,YES
495,"Jamnagar Voluntary Blood Bank",NO,"9am - 6pm",NO
496,"General Hospital Blood Bank",NO,24X7,NO
497,"Tata Chemical Limited Blood Bank Mithapur",NO,24X7,NO
498,"General Hospital Blood Bank Junagadh",NO,24X7,NO
499,"Divyajyoti Charitable Voulantary Blood Bank",NO,24X7,NO
500,"Shri Jivanprakash Foundation Voluntary Blood Bank",NO,24X7,YES
501,"Navjeevan Blood Bank and Clinical Laboratory,  Veraval",NO,24X7,NO
502,"Navdeep Blood Bank  ",NO,24X7,NO
503,"Sardar Patel voulantary Blood Bank, Keshod",NO,24X7,NO
504,"G.K. General Hospital Blood Bank, Bhuj",NO,24X7,NO
505,"Rajabhai Patel Blood Bank (IMA)",NO,24X7,YES
506,"Mayur Voluntary Blood Bank   Mandvi",NO,"9 t0 6( 7 days)",NO
507,"Jivan Jyot Blood Bank  ",NO,24X7,YES
508,"Matrushri Meghbai Pramji Jetha Hospital and Research Centre, Bhuj ",NO,24X7,NO
509,"Indian Red Cross Society Blood Bank ",NO,24X7,NO
510,"Indian Red Cross Society Blood Bank Nadiad",NO,24X7,NO
511,"Muljibhai Patel Urological Hospital Blood Bank",,24X7,
512,"Gujarat Methodist Church Cardiac Care and Research Society Blood Bank",NO,24X7,NO
513,"General Hospital Blood Bank Mehsana",NO,24X7,NO
514,"Mehsana Jaycees Charitable Trust Blood Bank",NO,24X7,YES
515,"Sardar Seva Trust, Unjha Nagrik Sahkari Voluntary Blood Bank",NO,24X7,NO
516,"Visnagar Voluntary Blood Bank",NO,24X7,NO
517,"Indian Red Cross Society Blood Bank Navsari",NO,24X7,YES
518,"Lions Medical Trust Blood Bank Chikhali",NO,24X7,NO
519,"N. M. Patel Blood Bank Bilimora",NO,24X7,NO
520,"Indian red Cross Society Blood Bank Godhara",NO,24X7,YES
521,"General Hospital Blood Bank Godhra, ",NO,24X7,NO
522,"Raktdan Kendra Voluntary Blood Bank Godhra ",NO,24X7,YES
523,"Seventilal Kantilal Blood Bank",NO,24X7,YES
524,"GMERS Medical College and Hospital Blood Bank Dharpur ",NO,24X7,NO
525,"Bahansali Trust Raktdan Kendra, Radhanpur ",NO,24X7,NO
526,"General Hospital Blood Bank Siddhpur",NO,24X7,NO
527,"General Hospital Blood Bank Porbandar",NO,24X7,NO
528,"Asha Children Hospital and Blood Bank",NO,24X7,NO
529,"Shri Ram Blood Bank Porbandar",NO,"9 to 8 (7 days)",NO
530,"Astha Voluntary Blood Bank Gondal",NO,24X7,NO
531,"P.D.U. Medical College Blood Bank",NO,24X7,YES
532,"Rajkot Voluntary Blood Bank and Research Centre",NO,24X7,YES
533,"Red Cross Blood Bank Rajkot",NO,24X7,YES
534," Saurastra Voluntary Blood Bank Rajkot",NO,24X7,YES
535,"General Hospital Blood Bank Morbi",NO,24X7,NO
536,"Nationality Development Foundation Blood Bank Rajkot",NO,24X7,YES
537,"Nathani Voluntary Blood Bank,  Rajkot ",NO,24X7,YES
538,"Shiv Voluntary Blood Bank Morbi",NO,24X7,NO
539,"Jetpur Medical Foundation Trust Blood Bank Jetpur",NO,24X7,NO
540,"Jagruti Charitable Trust Blood Bank Dhoraji",NO,24X7,NO
541,"GMERS Medical College Attach Sir Pratap General Hospital Blood Bank",NO,24X7,NO
542,"Indian Red Cross Society Blood Bank Himmatnagar",NO,24X7,NO
543,"Patel Voluntary Blood Bank Modasa",NO,24X7,NO
544,"Trimurti Blood Bank",NO,24X7,NO
545,"Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa",NO,24X7,NO
546,"New Civil Hospital Blood Bank",YES,24X7,YES
547,"Surat Raktdan Kendra",YES,24X7,YES
548,"Lok Samarpan Raktadan Kendra, Surat",YES,24X7,YES
549,"Shree Mahavir Health And Medical Relief Society Blood Bank",YES,24X7,YES
550,"Shree Sardar Smarak Hospital Blood Bank",YES,24X7,YES
551,"SMIMER Hospital Blood Bank",YES,24X7,YES
552," Surat Health Care Foundation Blood Bank",NO,24X7,YES
553,"General Hospital Surendranagar Blood Bank",NO,24X7,NO
554,"C. U. Shah Medical College and Hospital Blood Bank",NO,24X7,YES
555,"Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra",NO,24X7,YES
556,"Laxmiben Kushalbhai Patel Blood Bank ",NO,24X7,YES
557,"Maliba Raktdan Kendra (IRCS)",NO,24X7,NO
558,"S. S. G. Hospital Vadodara",YES,24X7,YES
559,"Jamnabai Blood Bank",NO,24X7,NO
560,"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ",YES,24X7,YES
561,"Suraktam Blood Bank Vadodara",NO,24X7,YES
562,"Kailash Cancer Hospital & Research Centre Blood Bank.",YES,24X7,YES
563,"GMERS Medical College and General Hospital Blood Bank",NO,24X7,NO
564,"Indu Blood Bank Vadodara",YES,24X7,YES
565,"Dhiraj General Blood Bank Vadodara",NO,24X7,YES
566,"Bhailal Amin General Hospital Blood Bank",YES,24X7,YES
567,"SBPP Cooperative Bank Foundation Blood Bank",NO,24X7,YES
568,"General Hospital and GMERS Medical College Blood Bank",NO,24X7,NO
569,"Valsad Raktdan Kendra",YES,24X7,YES
570,"Nukem Blood Bank, Vapi",NO,24X7,YES
571,"Smt. Puriben Popat Lakha Blood Bank",NO,24X7,YES
572,"Military Hospital Blood Bank Ambala",,,
573,"MM Institute of Medical Sciences and Research Blood Bank",NO,24X7,YES
574,"Sanjeevani Blood Bank",NO,24X7,NO
575,"General Hospital Blood Bank Ambala City ",NO,24X7,NO
576,"Philadelphia Mission Hospital Blood Bank",NO,"9am - 5pm",NO
577,"General Hospital Bhiwani Blood Bank ",,24X7,NO
578,"City Blood Bank",,,
579,"Gold Field Hospital and Research Centre",YES,24X7,YES
580,"Badshah Khan General Hospital Blood Bank",,24X7,YES
581,"Escorts Hospital and Research Center Limited Blood Bank",YES,24X7,YES
582,"M/s Sunflag Hospital and Research Centre Blood Bank",YES,24X7,YES
583,"Sarvodaya Hospital and Research Centre",YES,24X7,YES
584,"QRG Central Hospital and Research Centre Blood Bank",YES,24X7,YES
585,"Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank",,,YES
586,"Asian Institute of Medical Sciences Blood Bank",YES,24X7,YES
587,"Metro Heart Institute with Multispecialty",YES,24X7,YES
588,"General Hospital Blood Bank Fatehabad",,24X7,NO
589,"Jagdambe Blood Bank",NO,24X7,YES
590,"Paras Health Care Private Limited Blood Bank",YES,24X7,YES
591,"Artemis Medicare Services Limited Blood Bank",YES,24X7,YES
592,"Medanta The Medicity Hospital Blood Bank",YES,24X7,YES
593,"Alchemist Institute of Medical Sciences Blood Bank",YES,24X7,YES
594,"SGT Medical College Hospital and Research Institute Blood Bank ",NO,24X7,YES
595,"Park Hospital Blood Bank",YES,24X7,YES
596,"Fortis Memorial Research Institute Blood Bank",,24X7,YES
597,"Fortis Memorial Research Institute Blood Bank",YES,24X7,YES
598,"General Hospital Blood Bank, Gurugram",NO,24X7,NO
599,"Umkal Blood Bank",,,YES
600,"VPS Rockland Hospital Blood bank",,,YES
601,"Columbia Asia Hospital - Palam Vihar, Blood Bank",,,
602,"Paras Hospital Blood Bank",,,YES
603,"Nalwa Pathology and Microbiology Laboratory Blood Bank",YES,24X7,YES
604,"Central Medical Centre (CMC) Hospital Blood Bank",NO,24X7,NO
605,"Haryana Blood Bank",NO,24X7,NO
606,"Manglam Blood Bank",,24X7,YES
607,"Hisar Blood Bank",,,
608,"Dr. Anant Ram Janta Hospital Blood Bank",NO,24X7,NO
609,"National Blood Bank, Kharab Hospital Blood Bank",NO,24X7,YES
610,"Sarvodaya Blood Bank services",NO,24X7,YES
611,"General Hospital Blood Bank Hisar",NO,24X7,NO
612,"Maharaja Agrasen Medical College, Agroha, Blood Bank",NO,24X7,YES
613,"General Hospital Blood Bank Jhajjar",NO,24X7,NO
614,"General Hospital Blood Bank Jind",NO,24X7,NO
615,"National Blood Bank",,,
616,"Gangaputra Hospital and Research Centre Blood Bank",YES,24X7,YES
617,"Smt. Indira Gandhi Government Multispeciality Blood Bank",NO,24X7,NO
618,"Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank",,,
619,"Kapisthal Blood Bank",,,NO
620,"General Hospital Blood Bank Karnal",NO,24X7,YES
621,"Nirmal Institute of Medical Sciences and Technology Blood Bank",YES,24X7,YES
622,"Pandit Ram Prakash Hospital and Kidney Centre Blood Bank",,24X7,
623,"Save Life Blood Bank",,24X7,YES
624,"LNJP District Government Hospital Blood Bank ",NO,24X7,NO
625,"Kurukshetra Blood Bank",,24X7,YES
626,"Adesh Blood Bank",,,
627,"Civil Hospital Narnaul ",NO,24X7,NO
628,"General Hospital Blood Bank Mandikhera",,,NO
629,"Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ",,24X7,NO
630,"Diamond Blood Bank LLT",YES,24X7,YES
631,"General Hospital Blood Bank Palwal",NO,24X7,NO
632,"Command Hospital Blood Bank",,,
633,"Alchemist Hospital Panchkula Blood Bank",YES,24X7,YES
634,"District Hospital Panchkula Blood Bank",NO,24X7,NO
635,"N.C. Medical College and Hospital Blood Bank",,,
636,"Red Cross Blood Bank",NO,24X7,NO
637,"Prem Blood Bank",YES,24X7,YES
638,"Bharat Blood Bank",YES,"9am - 5pm",YES
639,"Panipat Blood Bank",NO,24X7,NO
640,"Cygnus Maharaja Aggarsain Hospital Blood Bank",,,YES
641,"Rewari Blood Bank",YES,24X7,YES
642,"General Hospital Rewari Blood Bank",NO,24X7,NO
643,"Bharti Blood Bank",,,
644,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank",YES,24X7,YES
645,"General Hospital Blood Bank Sirsa",NO,24X7,NO
646,"Shiv Shakti Blood Bank",NO,24X7,YES
647,"Bapu Maghar Singh Ji International Blood Bank",YES,24X7,YES
648,"Bapu Maghar singh ji",,,
649,"General Hospital Blood Bank Sonipat",NO,24X7,NO
650,"Sonipat Blood Bank",NO,24X7,NO
651,"Bhagat Phool Singh Government Medical College for Women Blood Bank",YES,24X7,YES
652,"Shree MAA Blood Bank",NO,24X7,YES
653,"MLGH Trauma Centre Yamuna Nagar Blood Bank ",NO,24X7,YES
654,"Bilaspur Regional Hospital Blood bank",NO,24X7,NO
655,"Chamba Regional Hospital Blood Bank ",NO,24X7,NO
656,"Bhota Charitable Hospital Blood Bank",NO,24*7,NO
657,"Hamirpur Regional Hospital Blood bank",NO,,NO
658," Dharamshala Zonal Hospital Blood Bank",NO,24X7,NO
659,"Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda",NO,24X7,YES
660,"Military Hospital,Yol Cant, Kangra",NO,24X7,NO
661,"Civil Hospital Blood Bank Palampur",NO,24X7,NO
662,"Reckong Peo Regional Hospital Blood Bank ",NO,24*7,NO
663,"Kullu Regional Hospital Blood Bank ",NO,24X7,NO
664,"Netaji Subhash Chander Bose Zonal Hospital Blood Bank",NO,24X7,YES
665,"Rohru Civil Hospital Blood Bank ",NO,24X7,NO
666,"Indira Gandhi Medical College Blood Bank Shimla",NO,24X7,YES
667,"Deen Dayal Updhayay Hospital Blood Bank",NO,"9:30 am to 8pm",NO
668,"Kamla Nehru Hospital Blood Bank",NO,24X7,NO
669,"Mahatma Gandhi Medical Services Blood Bank Rampur",NO,24X7,NO
670,"Nahan Regional Hospital Blood Bank ",NO,24X7,NO
671,"Malhotra Super Speciality Hospital Blood Bank ",NO,24*7,YES
672,"Maharishi Markendeshwar Medical College and Hospital Blood Bank",NO,24X7,YES
673," Solan Regional Hospital Blood Bank",NO,24X7,NO
674,"Una Regional Hospital Blood Bank ",NO,24X7,NO
675,"MMAB memorial District Hospital  Blood Bank Anantnag",NO,24X7,NO
676,"Baramulla District Hospital Blood Bank",NO,24*7,NO
677,"Chodana Sub-District Hospital Blood Bank",NO,24*7,NO
678,"Budgam District Hospital Blood Bank ",NO,24*7,NO
679,"Doda District Hospital Blood Bank ",NO,24X7,NO
680,"District Hospital Blood Bank Ganderbal ",,,
681,"Government Hospital Blood Bank Gandhi Nagar",YES,24X7,NO
682,"Government Medical College and Hospital Blood Bank",YES,24X7,NO
683,"Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank",NO,24X7,YES
684,"Bee Enn General Hospital Blood Bank",,24X7,
685,"Sainik Asptal Blood Bank Satwari",NO,N/A,NO
686,"Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank",,,YES
687,"Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ",NO,24*7,NO
688,"Kathua District Hospital Blood Bank ",NO,N/A,NO
689,"Kishtwar District Hospital Blood Bank  ",NO,24X7,NO
690,"Kulgam District Hospital Blood Bank ",NO,24*7,NO
691,"Handwara District Hospital Blood Bank",NO,24*7,NO
692,"General Hospital Blood Bank",,N/A,
693,"SNM Hospital Blood Bank",NO,24X7,NO
694,"Raja Sukhdev Singh District Hospital Poonch",NO,24X7,NO
695,"Pulwama District Hospital Blood Bank ",NO,24*7,NO
696,"General Hospital Blood Bank (Army)",NO,24X7,NO
697,"Rajouri District Hospital Blood Bank ",YES,24X7,NO
698,"Ramban District Hospital Blood Bank ",NO,24X7,NO
699,"District Hospital Blood Bank Sambha ",,,
700,"District Hospital Blood Bank Shopian ",,24X7,
701,"Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank",YES,24X7,YES
702,"92 Base Hospital Blood Bank",NO,24X7,NO
703,"Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank",YES,24X7,YES
704," Government Lal Ded Hospital Blood Bank",NO,24X7,YES
705,"Government Bone and Joint Surgery Hospital Blood Bank",NO,24X7,NO
706,"Jawahar Lal Nehru Memorial Hospital Blood Bank",NO,24X7,NO
707,"Command Hospital Blood Bank ",,24X7,
708,"Udhampur District Hospital Blood Bank ",NO,24X7,NO
709,"Indian Red Cross Society Blood Bank Bokaro",NO,"9:00 AM to 6:00PM",NO
710,"Bokaro General Hospital Blood Bank",NO,,YES
711,"K.M. Memorial Hospital & Research Center Blood Bank",NO,24X7,NO
712,"Deoghar Sadar Hospital Campus Blood Bank ",NO,24X7,NO
713,"Patliputra Medical college and Hospital (PMCH) Blood Bank Dhanbad",NO,24X7,NO
714,"Central Hospital Blood Bank BCCL Dhanbad",NO,24X7,NO
715,"S. N. Chakraborty Memorial Chakraborty Nursing Home Blood Bank",NO,24X7,NO
716,"Dwarka Das Jalan Memorial Hospital Bartand Blood Bank ",NO,24X7,NO
717,"Dumka Sadar Hospital Blood Bank ",NO,24X7,NO
718,"MGM Medical College Hospital Campus Blood Bank Jamshedpur",NO,24X7,NO
719,"Jamshedpur Blood Bank ",NO,24X7,YES
720,"Garhwa Sadar Hospital Campus Blood Bank ",NO,24X7,NO
721,"Giridih Sadar Hospital Blood Bank ",NO,24X7,NO
722,"Gumla Sadar Hospital Blood Bank ",NO,24X7,NO
723,"Hazaribag Sadar Hospital Blood Bank ",NO,24X7,NO
724,"TISCO West Bokaro Hospital Blood Bank ",NO,24X7,NO
725,"Koderma Sadar Hospital Blood Bank ",NO,24X7,NO
726,"Latehar Sadhar Hospital Blood Bank",,24*7,NO
727,"Lohardaga Sadar Hospital Blood Bank ",NO,24X7,NO
728,"Pakur Sadar Hospital Blood Bank ",,24*7,NO
729,"Palamu Sadar Hospital Blood Bank ",NO,24X7,NO
730,"CCL Hospital Blood Bank Ramgarh",NO,24X7,NO
731,"Military Hospital Blood Bank Ramgarh",NO,24X7,NO
732,"Apurva Blood Bank Ramgarh",NO,24X7,NO
733,"Heavy Engineering Corporation, Plant Hospital Blood Bank",NO,24X7,NO
734,"Rajendra Institute of Medical Science (RIMS) Blood Bank, Bariyatu",YES,24X7,YES
735,"CCL Hospital Blood Bank Ranchi",NO,24X7,NO
736,"Indian Red Cross Society (IRCS) Blood Bank Morabadi",NO,24X7,
737,"Abdur Razzaque Memorial Weavers Hospital (ARAM) Blood Bank ",NO,24X7,YES
738,"Nagarmal Modi Seva Sadan Hospital Blood Bank",NO,24X7,
739,"Rinchi Trust Hospital Blood Bank",NO,24X7,YES
740,"Devkamal Hospital and Research Centre Blood Bank",NO,24X7,NO
741,"Gurunanak Hospital and Research Centre Blood Bank ",NO,24X7,NO
742,"Sainik Hospital Blood Bank Namkum",NO,24X7,
743,"Birsa Blood Bank Bariyatu",NO,24X7,NO
744,"Jharkhand Blood Bank Bariatu ",NO,24X7,NO
745,"Archi Blood Bank Jharkhand ",NO,24X7,NO
746,"Sahebganj Sadar Hospital Blood Bank ",NO,24X7,NO
747,"Simdega Sadar Hospital Blood Bank ",NO,24X7,NO
748,"Chaibasa Sadar Hospital Blood Bank ",NO,24X7,NO
749,"Kiriburu Meghahatuburu General Hospital Blood Bank",NO,24X7,NO
750,"TATA (TISCO) Hospital Blood bank",NO,24X7,NO
751,"Bagalkot Blood Bank",NO,24X7,NO
752,"B. V. V. Sanghas HSK Hospital Blood Bank",YES,24X7,YES
753,"District Hospital Blood Bank Bagalkot",NO,24X7,NO
754,"M/s. Vijay Mahant Blood Bank",NO,24X7,YES
755,"Mounesh Hospital&#39;s The Jhamkandi Blood Bank",NO,24X7,NO
756,"Ramanagoudar Hospital Blood Bank",NO,24X7,NO
757,"M/s. Sai Aadhar Hospital Blood Bank",NO,24X7,NO
758,"K.L.E.Society & Medical Research Centre Blood Bank",NO,24X7,YES
759,"Belgaum Blood Bank and Diagnostic Laboratory",NO,24X7,NO
760,"District Hospital Blood Bank",NO,24X7,YES
761,"Shree Mahaveer Blood Bank",NO,24X7,NO
762,"M/s. Sri Sai Blood Bank",NO,24X7,NO
763,"Rotary Charitable Trust Blood Bank",NO,24X7,NO
764,"Rotary Seva Sangh Blood Bank",NO,24X7,NO
765,"Medical College Hospital Blood Bank",YES,24X7,YES
766,"District Hospital Blood Bank Bellary",NO,24X7,NO
767,"Swamy Vivekananda Charitable Blood Bank",YES,24X7,YES
768,"Smt. Vasantidevi Baldota Blood Bank",NO,24X7,YES
769,"Chiranjeevi Blood Bank",NO,24X7,YES
770,"M/s. Sri Siddartha Medical College Hospital Blood Bank",NO,24X7,YES
771,"MVJ Medical College and Research Hospital Blood Bank",NO,24X7,YES
772,"BGS Global Hospitals Blood Bank",NO,24X7,YES
773,"Harsha Hospital Blood Bank",NO,24X7,NO
774,"Narayana Hrudayalaya Blood Bank",YES,24X7,YES
775,"Government Haji Sir Ismail Sait Gosha Hospital Blood Bank",NO,24X7,NO
776,"Swamy Vivekananda Voluntary Blood Bank",NO,24X7,YES
777,"M/s. Aster CMI Hospital Blood Bank",NO,24X7,YES
778,"M/s. East Point Hospital Blood Bank Virgonagar",NO,24X7,YES
779,"Unique Blood Bank & Diagnostic Centre",NO,24X7,NO
780,"SHUSHRUTHA VOLUNTARY BLOOD BANK",2,24X7,NO
781,"Bengaluru Blood Bank and Diagnostic Laboratory",NO,24x7,YES
782,"Bengaluru Rotary TTK Medical Service Trust Blood Bank",YES,24x7,YES
783,"KIMS Hospital Blood Bank",NO,24x7,YES
784,"Bangalore Baptist Hospital Blood Bank",NO,24x7,YES
785,"Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank",NO,24x7,NO
786,"Victoria Hospital Blood Bank",NO,24x7,YES
787,"M. S. Ramaiah Medical Teaching Hospital Blood Bank",YES,24x7,YES
788,"Saint Martha&#39;s Hospital Blood Bank",NO,24x7,YES
789,"Kidwai Memorial Institute of Oncology Blood Bank",NO,24x7,YES
790,"Transfusion Medicine Centre Blood Bank",YES,24x7,YES
791,"St. John&#39;s Medical College Blood Bank",YES,24x7,YES
792,"Mallya Hospital Blood Bank",YES,24x7,YES
793,"Hindustan Aeronautics Limited - HAL Hospital Blood Bank ",NO,24x7,NO
794,"Saint Philomena Blood Bank",NO,24x7,NO
795,"K. C. General Hospital Blood Bank",NO,,NO
796,"Command Hospital Blood Bank Air Force",NO,24x7,YES
797,"E.S.I.Hospital Blood Bank",NO,24X7,NO
798,"Rashtrotthana Blood Bank",YES,24X7,YES
799,"Dr. B. R.Ambedkar Medical College Hospital Blood Bank",NO,24x7,NO
800,"Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank",NO,24x7,NO
801,"Grace Blood Bank and Laboratory",NO,24x7,NO
802,"Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank",NO,24x7,YES
803,"Navarang Blood Bank",NO,24x7,NO
804,"Bangalore Lions Service Trust - Lions Blood Bank",NO,24x7,YES
805,"Sri Jayadeva Institute of Cardiology Blood Bank",NO,24x7,YES
806,"Vydehi Institute of Medical Science Hospital Blood Bank",YES,24x7,YES
807,"Akshay Voluntary Blood Bank",NO,24x7,YES
808,"Bowring and Lady Curzon Hospitals Blood Bank",NO,24x7,NO
809,"Kempegowda Medical Service Trust - Millennium Blood Bank",NO,24x7,NO
810,"S. K. Voluntary Blood Bank",NO,24x7,YES
811,"Indira Gandhi Child Institute of Health Blood Bank",NO,24x7,YES
812,"Rajarajeshwari Medical College Hospital Blood Bank",YES,24x7,YES
813,"Sanjeevini Trust Jayanagar Voluntary Blood Bank",NO,24x7,YES
814,"Sri Vinayaka Charitable Trust  Jeeva Voluntary Blood Bank",NO,24x7,YES
815,"Indian Red Cross Society - Karnataka Red Cross Blood Bank",NO,24x7,YES
816,"Apollo Hospitals (Imperial Cancer Hospital and Research Centre) Blood Bank",NO,24x7,YES
817,"Vijayanagar Hospital Blood Bank",NO,24x7,NO
818,"Bangalore Institute of Oncology Blood Bank",NO,24x7,NO
819,"Ocean Blood Bank",NO,24x7,NO
820,"Rotary K. R. Hospital Blood Bank",NO,24x7,NO
821,"Veerayoga Institute of Medical Sciences Speciality Hospitals Blood Bank",NO,24x7,YES
822,"Columbia Asia Referral Hospital Blood Bank",YES,24x7,YES
823,"Sagar Hospital Blood Bank",NO,N/A,YES
824,"Fortis Hospital Private Limited Blood Bank",YES,24x7,YES
825,"Fortis Hospital Private Limited Blood Bank",NO,24x7,NO
826,"Sagar Hospital Blood Bank",YES,,YES
827,"Manipal Hospital Transfusion Services Blood Bank",NO,24x7,YES
828,"Yashomathi Medicare and Research Centre Private Limited Blood Bank",NO,24x7,YES
829,"Life Care Voluntary Blood Bank",NO,24X7,YES
830,"The Oxford Medical College Hospital Blood Bank and Research Centre",NO,24X7,NO
831,"Sakra World Hospital Blood Bank",YES,24x7,YES
